DateTime,dswrf,uswrf
'18-Jan-2017 22:30:00',3.5,1.8125
'19-Jan-2017 01:30:00',0,0
'19-Jan-2017 04:30:00',0,0
'19-Jan-2017 07:30:00',0,0
'19-Jan-2017 10:30:00',0,0
'19-Jan-2017 13:30:00',91.6875,22.75
'19-Jan-2017 16:30:00',329.1875,54.6875
'19-Jan-2017 19:30:00',309.875,67.75
'19-Jan-2017 22:30:00',12.125,6.5
'20-Jan-2017 01:30:00',0,0
'20-Jan-2017 04:30:00',0,0
'20-Jan-2017 07:30:00',0,0
'20-Jan-2017 10:30:00',0,0
'20-Jan-2017 13:30:00',209.75,53.125
'20-Jan-2017 16:30:00',508.6875,85.125
'20-Jan-2017 19:30:00',322.0625,67.375
'20-Jan-2017 22:30:00',12.125,6.4375
'21-Jan-2017 01:30:00',0,0
'21-Jan-2017 04:30:00',0,0
'21-Jan-2017 07:30:00',0,0
'21-Jan-2017 10:30:00',0,0
'21-Jan-2017 13:30:00',73.4375,18.4375
'21-Jan-2017 16:30:00',199.375,33.3125
'21-Jan-2017 19:30:00',183.5,39.9375
'21-Jan-2017 22:30:00',10.75,5.625
'22-Jan-2017 01:30:00',0,0
'22-Jan-2017 04:30:00',0,0
'22-Jan-2017 07:30:00',0,0
'22-Jan-2017 10:30:00',0,0
'22-Jan-2017 13:30:00',147,36.25
'22-Jan-2017 16:30:00',330.75,55.0625
'22-Jan-2017 19:30:00',326.625,70.1875
'22-Jan-2017 22:30:00',13.3125,6.8125
'23-Jan-2017 01:30:00',0,0
'23-Jan-2017 04:30:00',0,0
'23-Jan-2017 07:30:00',0,0
'23-Jan-2017 10:30:00',0,0
'23-Jan-2017 13:30:00',123.25,29.8125
'23-Jan-2017 16:30:00',375.625,60.3125
'23-Jan-2017 19:30:00',127,25.125
'23-Jan-2017 22:30:00',4.625,2.375
'24-Jan-2017 01:30:00',0,0
'24-Jan-2017 04:30:00',0,0
'24-Jan-2017 07:30:00',0,0
'24-Jan-2017 10:30:00',0,0
'24-Jan-2017 13:30:00',53.9375,13.875
'24-Jan-2017 16:30:00',157.75,26.125
'24-Jan-2017 19:30:00',205.5,41.875
'24-Jan-2017 22:30:00',9.9375,4.9375
'25-Jan-2017 01:30:00',0,0
'25-Jan-2017 04:30:00',0,0
'25-Jan-2017 07:30:00',0,0
'25-Jan-2017 10:30:00',0,0
'25-Jan-2017 13:30:00',194.25,47.25
'25-Jan-2017 16:30:00',524.375,86.5
'25-Jan-2017 19:30:00',359.6875,74.75
'25-Jan-2017 22:30:00',17.3125,9.1875
'26-Jan-2017 01:30:00',0,0
'26-Jan-2017 04:30:00',0,0
'26-Jan-2017 07:30:00',0,0
'26-Jan-2017 10:30:00',0,0
'26-Jan-2017 13:30:00',52.8125,12.875
'26-Jan-2017 16:30:00',145.125,24
'26-Jan-2017 19:30:00',76.1875,15.875
'26-Jan-2017 22:30:00',14.6875,7.5625
'27-Jan-2017 01:30:00',0,0
'27-Jan-2017 04:30:00',0,0
'27-Jan-2017 07:30:00',0,0
'27-Jan-2017 10:30:00',0,0
'27-Jan-2017 13:30:00',157.3125,39.1875
'27-Jan-2017 16:30:00',357.75,56.75
'27-Jan-2017 19:30:00',236.75,47
'27-Jan-2017 22:30:00',13.6875,6.875
'28-Jan-2017 01:30:00',0,0
'28-Jan-2017 04:30:00',0,0
'28-Jan-2017 07:30:00',0,0
'28-Jan-2017 10:30:00',0,0
'28-Jan-2017 13:30:00',195,49.5625
'28-Jan-2017 16:30:00',382.6875,60.5
'28-Jan-2017 19:30:00',304.875,59.6875
'28-Jan-2017 22:30:00',17,8.3125
'29-Jan-2017 01:30:00',0,0
'29-Jan-2017 04:30:00',0,0
'29-Jan-2017 07:30:00',0,0
'29-Jan-2017 10:30:00',0,0
'29-Jan-2017 13:30:00',125.25,33.4375
'29-Jan-2017 16:30:00',318.375,50.0625
'29-Jan-2017 19:30:00',360.0625,71.6875
'29-Jan-2017 22:30:00',19.875,9.8125
'30-Jan-2017 01:30:00',0,0
'30-Jan-2017 04:30:00',0,0
'30-Jan-2017 07:30:00',0,0
'30-Jan-2017 10:30:00',0,0
'30-Jan-2017 13:30:00',120.5625,30.4375
'30-Jan-2017 16:30:00',198.875,31.1875
'30-Jan-2017 19:30:00',163.3125,31.6875
'30-Jan-2017 22:30:00',12.5,6.125
'31-Jan-2017 01:30:00',0,0
'31-Jan-2017 04:30:00',0,0
'31-Jan-2017 07:30:00',0,0
'31-Jan-2017 10:30:00',0,0
'31-Jan-2017 13:30:00',229.625,55.75
'31-Jan-2017 16:30:00',353.25,54.6875
'31-Jan-2017 19:30:00',140.5625,24.75
'31-Jan-2017 22:30:00',5.125,2.5
'01-Feb-2017 01:30:00',0,0
'01-Feb-2017 04:30:00',0,0
'01-Feb-2017 07:30:00',0,0
'01-Feb-2017 10:30:00',0,0
'01-Feb-2017 13:30:00',225.6875,53.5
'01-Feb-2017 16:30:00',413.125,62.6875
'01-Feb-2017 19:30:00',252,47
'01-Feb-2017 22:30:00',20.6875,9.625
'02-Feb-2017 01:30:00',0,0
'02-Feb-2017 04:30:00',0,0
'02-Feb-2017 07:30:00',0,0
'02-Feb-2017 10:30:00',0,0
'02-Feb-2017 13:30:00',90.5625,21.8125
'02-Feb-2017 16:30:00',172.875,26.5625
'02-Feb-2017 19:30:00',228.4375,44.6875
'02-Feb-2017 22:30:00',19.75,9.25
'03-Feb-2017 01:30:00',0,0
'03-Feb-2017 04:30:00',0,0
'03-Feb-2017 07:30:00',0,0
'03-Feb-2017 10:30:00',0,0
'03-Feb-2017 13:30:00',259.6875,61.625
'03-Feb-2017 16:30:00',526.5,79
'03-Feb-2017 19:30:00',243.9375,42.625
'03-Feb-2017 22:30:00',13.625,6.1875
'04-Feb-2017 01:30:00',0,0
'04-Feb-2017 04:30:00',0,0
'04-Feb-2017 07:30:00',0,0
'04-Feb-2017 10:30:00',0,0
'04-Feb-2017 13:30:00',220.375,52.75
'04-Feb-2017 16:30:00',463.625,69.375
'04-Feb-2017 19:30:00',376.1875,70.8125
'04-Feb-2017 22:30:00',29.6875,14.1875
'05-Feb-2017 01:30:00',0,0
'05-Feb-2017 04:30:00',0,0
'05-Feb-2017 07:30:00',0,0
'05-Feb-2017 10:30:00',0,0
'05-Feb-2017 13:30:00',158.8125,39.3125
'05-Feb-2017 16:30:00',268.875,40
'05-Feb-2017 19:30:00',293.8125,53.5625
'05-Feb-2017 22:30:00',20.375,9.25
'06-Feb-2017 01:30:00',0,0
'06-Feb-2017 04:30:00',0,0
'06-Feb-2017 07:30:00',0,0
'06-Feb-2017 10:30:00',0,0
'06-Feb-2017 13:30:00',236.625,54.5625
'06-Feb-2017 16:30:00',468.4375,70.1875
'06-Feb-2017 19:30:00',373.625,69.4375
'06-Feb-2017 22:30:00',30.1875,13.75
'07-Feb-2017 01:30:00',0,0
'07-Feb-2017 04:30:00',0,0
'07-Feb-2017 07:30:00',0,0
'07-Feb-2017 10:30:00',0.0625,0.0625
'07-Feb-2017 13:30:00',135.125,30.3125
'07-Feb-2017 16:30:00',142.75,21.875
'07-Feb-2017 19:30:00',108.5,19.25
'07-Feb-2017 22:30:00',11.3125,5
'08-Feb-2017 01:30:00',0,0
'08-Feb-2017 04:30:00',0,0
'08-Feb-2017 07:30:00',0,0
'08-Feb-2017 10:30:00',0.1875,0.125
'08-Feb-2017 13:30:00',103.25,24.6875
'08-Feb-2017 16:30:00',409.8125,62.5
'08-Feb-2017 19:30:00',416.1875,77.375
'08-Feb-2017 22:30:00',32.875,14.125
'09-Feb-2017 01:30:00',0,0
'09-Feb-2017 04:30:00',0,0
'09-Feb-2017 07:30:00',0,0
'09-Feb-2017 10:30:00',0.125,0.0625
'09-Feb-2017 13:30:00',79.3125,17.0625
'09-Feb-2017 16:30:00',185.875,28.125
'09-Feb-2017 19:30:00',165.4375,30.5625
'09-Feb-2017 22:30:00',23.3125,9.9375
'10-Feb-2017 01:30:00',0,0
'10-Feb-2017 04:30:00',0,0
'10-Feb-2017 07:30:00',0,0
'10-Feb-2017 10:30:00',0.375,0.25
'10-Feb-2017 13:30:00',263.25,59.375
'10-Feb-2017 16:30:00',452.4375,66.5625
'10-Feb-2017 19:30:00',323.375,56.75
'10-Feb-2017 22:30:00',19.4375,8.3125
'11-Feb-2017 01:30:00',0,0
'11-Feb-2017 04:30:00',0,0
'11-Feb-2017 07:30:00',0,0
'11-Feb-2017 10:30:00',0.125,0.0625
'11-Feb-2017 13:30:00',127.4375,26.125
'11-Feb-2017 16:30:00',426.3125,62.75
'11-Feb-2017 19:30:00',307,55.9375
'11-Feb-2017 22:30:00',31.75,13.3125
'12-Feb-2017 01:30:00',0,0
'12-Feb-2017 04:30:00',0,0
'12-Feb-2017 07:30:00',0,0
'12-Feb-2017 10:30:00',0.625,0.375
'12-Feb-2017 13:30:00',157.6875,36.0625
'12-Feb-2017 16:30:00',220.875,32.8125
'12-Feb-2017 19:30:00',118.1875,21.125
'12-Feb-2017 22:30:00',7.1875,2.9375
'13-Feb-2017 01:30:00',0,0
'13-Feb-2017 04:30:00',0,0
