ResidualNitrateConcentration,NuptakeRate
0.7239819,7.629092361
1.447963801,12.91921746
0,27.04484961
2.714932127,34.97105403
0.904977376,35.86338834
3.981900452,43.34642002
4.705882353,53.48948629
10.67873303,87.42713601
10.85972851,86.98496141
10.85972851,97.5731967
31.31221719,114.6662896
37.1040724,80.22258451
69.14027149,106.957679
73.12217195,107.3768965
72.760181,102.967128
