Irradiance,O2production
9.057909985,-14.93902439
8.883573642,-7.926829268
18.72220725,-3.658536585
18.55545075,3.048780488
48.26842744,7.926829268
48.08651125,15.24390244
99.00788303,17.07317073
98.84870637,23.47560976
299.0702062,20.12195122
298.9489287,25
599.6639604,29.57317073
599.8079774,23.7804878
897.9307034,32.62195122
898.1126196,25.30487805
898.0292413,28.65853659
